edge_id,fiscal_year,source_node,target_node,mechanism,function_layer,amount_jpy,amount_visual_status,evidence_level,source_refs,visual_group,tooltip_limit
R10V001,2019,JICA Okinawa,ONC,commission,international_cooperation,,unknown_amount,E4,R10S03,commission,"Contractor role confirmed; amount unavailable."
R10V002,2019,Okinawa City,ONC,commission,international_exchange_service,17157000,documented_payment_flow,E4,R10S05,commission,"Commission fee for KIP; not movement funding."
R10V003,2020,Okinawa City,ONC,commission,international_exchange_service,16970000,documented_payment_flow,E4,R10S06,commission,"Commission fee for KIP."
R10V004,2024,Okinawa City,ONC,commission,international_exchange_service,16662000,documented_payment_flow,E4,R10S07,commission,"Use payer-side amount; do not also sum ONC project-cost observation."
R10V005,2024,Okinawa Prefecture,ONC,commission,multicultural_coexistence,5140000,whole_project_cost,E4,R10S01,commission,"Project cost not payment; alternate ONC cost JPY5.53m retained outside chart width."
R10V006,2024,MOFA,ONC,commission,NGO_consultation,2894000,organization_reported_project_cost,E4,R10S02;R10S04,commission,"Do not encode as payment-width in final figure."
R10V007,2026,MOFA,ONC,designated_role,NGO_consultation,,unknown_amount,E4,R10S04,designated_role,"Designation continuity only."
R10V008,2024,Okinawa Prefecture,A066 新外交イニシアティブ,administrative_collaboration,base_policy_public_information,12843000,whole_project_cost,E4,R10S01,non_funding_relation,"Collaboration and project cost; transfer amount not established."
R10V009,2024,Okinawa Prefecture,沖縄平和協力センター,non_funding_relation,peace_education,25547000,whole_project_cost,E4,R10S01,non_funding_relation,"Joint implementation; no transfer inference."
R10V010,2024,Okinawa Prefecture,沖縄平和協力センター,non_funding_relation,peace_education,6496000,whole_project_cost,E4,R10S01,non_funding_relation,"Joint implementation; no transfer inference."
R10V011,2024,Okinawa Prefecture,国際協力人材育成JV,commission,international_cooperation_training,21799000,whole_project_cost,E4,R10S01,commission,"Composite node; no member allocation."
R10V012,2024,Okinawa Prefecture,世界若者ウチナーンチュ連合会,service,international_exchange_network,10329000,whole_project_cost,E4,R10S01,service,"Service role; project cost not payment."
R10V013,2024,Okinawa Prefecture,Team OKIYUA,commission,international_exchange_training,39739000,whole_project_cost,E4,R10S01,commission,"Composite node; no member allocation."
R10V014,2024,Okinawa Prefecture,青年海外協力協会沖縄事務所,service,international_exchange_education,7171000,whole_project_cost,E4,R10S01,service,"Service relation; exact transfer instrument unresolved."
R10V015,2024,Okinawa Prefecture,ウチナージュニアスタディーJV,commission,international_exchange_training,15442000,whole_project_cost,E4,R10S01,commission,"Composite node."
R10V016,2024,Okinawa Prefecture,沖縄県国際交流・人材育成財団,grant,international_exchange,17932000,whole_project_cost_not_award,E4,R10S01,grant,"Grant relation confirmed; do not use project cost as award-sized edge."
R10V017,2024,Okinawa Prefecture,ONC,non_funding_relation,multicultural_policy,,no_amount,E4,R10S08,non_funding_relation,"Secretariat role; duplicate institutional role not financial edge."
