actor_id,organization_name,place,pre_2025_independent_evidence_status,source_ids,frame_codes,text_ownership,network_or_event_status,interpretation_limit,data_layer,claim_status,review_status,frontend_eligibility,central_writeback
A018,ノーモア沖縄戦 命どぅ宝の会,Okinawa,yes_attributed,S023,okinawa_war_memory;frontline_prevention;Taiwan_contingency,media-attributed formation position,core organizer,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
A100,ミサイル配備から命を守るうるま市民の会,Uruma,yes_attributed,S119;H3V2S006,frontline_prevention;Taiwan_contingency;life_safety,media/request reproduction,2025 member and 2026 signatory,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
A101,沖縄・琉球弧の声を届ける会,Okinawa/Ryukyu Arc,yes_organization_text,S246,new_prewar;frontline_prevention;human_rights,organization event page,2025 member and 2026 signatory,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
A010,石垣島の平和と自然を守る市民連絡会,Ishigaki,yes_substantial_request,H3V2S004;H3V2S005,Taiwan_contingency;evacuation;diplomacy;local_autonomy,petition/request text before network,scale-shift case,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
A016,与那国島の明るい未来を願うイソバの会,Yonaguni,unknown_in_this_pass,,,dated roster and later event only,do not code absence as non-adoption,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
,大分敷戸ミサイル弾薬庫問題を考える市民の会,Oita,yes_organization_text,H3V2S021;H3V2S022,residential_safety;IHL;Sakishima_logistics;evacuation,organization site and statement,pre-existing local frame supports aggregation explanation,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
,京都・祝園ミサイル弾薬庫問題を考える住民ネットワーク,Kyoto,yes_secondary_attribution,H3V2S010,local_safety;anti_war;explanation_right,formation material names co-chair; full own-text pair missing,not sufficient for lexical adoption test,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
A013,ミサイル基地いらない宮古島住民連絡会,Miyako,yes_attributed,H3V2S007;H3V2S019;H3V2S020,battlefield_prevention;dialogue;life_safety,external report plus official participation,absent from 2025 roster; present in 2026 petition,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
,ノーモア沖縄戦 えひめの会,Ehime,unknown_in_this_pass,,,2025 roster/co-chair only,no own pre-network text found in bounded pass,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
,さつま町の弾薬庫問題を考える会,Kagoshima,unknown_in_this_pass,,,2025 roster only,no own pre-network text found in bounded pass,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
,馬毛島基地反対住民訴訟原告団,Kagoshima,unknown_in_this_pass,,,2025 roster only,no own pre-network text found in bounded pass,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
,日鉄呉跡地問題を考える会,Hiroshima,unknown_in_this_pass,,,2024 contact sequence and 2025 roster only,no own matched text found in bounded pass,Roster presence never substitutes for an independently authored text; missing is not negative evidence.,research_only,candidate,ai_seeded,not_frontend_ready,no
