source_id,title,url,archive_status,local_path,metadata_path,sha256,content_type,http_status,archived_at_utc,note
S001,沖縄県NPOプラザ,https://www.pref.okinawa.jp/kurashikankyo/katsudo/1004889/1004890.html,archived,source_docs\source_archive\S001\raw.html,source_docs\source_archive\S001\metadata.json,376d02774e77de99d5b17966daab98f30be09b1aa991fdde6958135be98c428e,text/html,200,2026-07-11T20:48:01.496789+00:00,
S002,令和６年度 NPO等との協働実績調査,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/004/917/2r6hp.pdf,archived,source_docs\source_archive\S002\raw.pdf,source_docs\source_archive\S002\metadata.json,0f79e9bdb9b17de31aa42179a1d072824ca47d4d5f4a2763ce5dbb8b7285d247,application/pdf,200,2026-07-11T20:48:02.104947+00:00,
S003,67団体がジュゴンの生息地辺野古への基地建設反対に共同声明,https://www.wwf.or.jp/activities/statement/3436.html,archived,source_docs\source_archive\S003\raw.html,source_docs\source_archive\S003\metadata.json,d1b7fbe1d950591928a3dd52dccac096a53852c7cac938c0a8416d692189c228,text/html;charset=utf-8,200,2026-07-11T20:48:02.948724+00:00,
S004,辺野古の海を守れ NGO 31団体が緊急共同声明,https://www.nacsj.or.jp/statement/50827/,archived,source_docs\source_archive\S004\raw.html,source_docs\source_archive\S004\metadata.json,a9d48f7ab596c29fc9052765a17aa4e28e88e585c902c92d036630608c88fb7f,text/html; charset=UTF-8,200,2026-07-11T20:48:03.691926+00:00,
S005,Peace Boat statement on Henoko emergency NGO declaration,https://peaceboat.org/3620.html,archived,source_docs\source_archive\S005\raw.html,source_docs\source_archive\S005\metadata.json,8de022612deaa2e7da497b3011e59d8ab9a83ce1a81d109bc528929e64372222,text/html; charset=UTF-8,200,2026-07-11T20:48:05.243565+00:00,
S006,OEJP 71 organizations MMC request,https://okinawaejp.blogspot.com/2020/07/,archived,source_docs\source_archive\S006\raw.html,source_docs\source_archive\S006\metadata.json,f490d3e982cbdcfb88a57d6239b1d0117a25af33a739dd713cb8d7ca9b8f16ae,text/html; charset=UTF-8,200,2026-07-11T20:48:07.585714+00:00,
S007,The Plight of the Okinawa Dugong,https://apjjf.org/2020/16/yoshikawaoejp,manual_archived,source_docs/source_archive/S007/raw.pdf,source_docs\source_archive\S007\metadata.json,361017c6f5d9eed8e56058dfa47f8cb4142bdfd84883c156a15459c6da85a941,application/pdf,manual,2026-07-01T10:25:55.873951+00:00,Manual archive preserved because source URL returns HTTP 403 to script.
S008,ジュゴン保護 県内外71団体が米海洋哺乳類委員会に要請,https://ryukyushimpo.jp/news/entry-1154960.html,archived,source_docs\source_archive\S008\raw.html,source_docs\source_archive\S008\metadata.json,fd735877f040715846865bafcd6e56a9f52e505c11d6d5f06c89f14cbe747628,text/html; charset=UTF-8,200,2026-07-11T20:48:09.357818+00:00,
S009,Earthjustice dugong litigation explainer,https://earthjustice.org/article/fighting-to-protect-the-dugongs-of-japan-s-henoko-bay,archived,source_docs\source_archive\S009\raw.html,source_docs\source_archive\S009\metadata.json,81800b383ded33e14290253726f2cf92cae3515206c48f0a50675868f7240b52,text/html; charset=UTF-8,200,2026-07-11T20:48:09.974508+00:00,
S010,与那国町住民投票 自衛隊配備 結果は賛成多数,https://www.qab.co.jp/news/2015022363334.html,archived,source_docs\source_archive\S010\raw.html,source_docs\source_archive\S010\metadata.json,89d034fe6283273038d7fda86a3dadcba349051d841f15c207c4ad9d7b55852e,text/html; charset=UTF-8,200,2026-07-11T20:48:10.728824+00:00,
