issue_id,issue_label,issue_group,actor_count_all,actor_count_human_reviewed,actor_count_positioning,actor_count_event_specific,coverage_flag
I001,anti_base,base_politics,42,13,17,18,usable_sample
I002,anti_military,security_politics,15,6,10,3,usable_sample
I003,Henoko,place_issue,18,8,9,7,usable_sample
I004,dugong,environment,9,4,2,2,usable_sample
I005,biodiversity,environment,27,5,7,19,event_heavy
I006,groundwater,life_safety,8,3,4,4,usable_sample
I007,life_safety,life_safety,16,10,5,5,usable_sample
I008,health_risk,life_safety,3,1,2,1,thin
I009,local_autonomy,governance,8,1,4,3,usable_sample
I010,referendum,governance,4,2,0,2,usable_sample
I011,legal,legal_policy,16,9,1,2,usable_sample
I012,international_advocacy,transnational,24,6,4,17,event_heavy
I013,public_diplomacy,external_network,2,0,0,0,thin_no_human_review
I014,military_family_service,base_community,9,5,3,1,usable_sample
I015,international_cooperation,external_network,4,2,1,0,usable_sample
I016,base_community_welfare,base_community,4,1,1,0,usable_sample
I017,frontline_prevention,security_politics,6,3,6,0,usable_sample
I018,Taiwan_contingency,security_politics,6,3,5,1,usable_sample
I019,peace,peace_human_rights,27,13,23,4,usable_sample
I020,environment,environment,8,6,4,3,usable_sample
I021,noise,life_safety,6,6,0,0,usable_sample
I022,women,peace_human_rights,4,3,3,1,usable_sample
I023,human_rights,peace_human_rights,6,5,4,2,usable_sample
I024,solidarity,collective_action,2,2,1,1,thin
I025,anti_war,peace_human_rights,5,5,5,0,usable_sample
I026,mobilization,collective_action,4,3,3,1,usable_sample
